url_crawl;skelbimo_pavadinimas;kaina_eur;Plotas:;Kambarių sk.:;Aukštas:;Aukštų sk.:;Metai:;Pastato tipas:;Šildymas:;Įrengimas:;Ypatybės:;Papildomos patalpos:;Papildoma įranga:;Apsauga:;Nuoroda;Įdėtas;Redaguotas;Įsiminė;Peržiūrėjo;error_get_coordinates;Skelbimą peržiūrėjo (iš viso/šiandien);error_get_energy_consumption_class;error_get_air_polution_data;Namo numeris:;coordinate_x;coordinate_y;energijos_suvartojimo_klase;Buto numeris:;Azoto dioksidas (NO2);Kietosios dalelės (KD10);Aktyvus iki;Pastato energijos suvartojimo klasė:;error_get_perziuru_sk;scrape_date
https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-senamiestyje-vis-labiau-atsinaujinancioje-1-3241232/;Vilnius, Senamiestis, Pylimo g., 2 kambarių butas;268000.0;56,5 m²;2;3;3;2023;Mūrinis;Dujinis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Virtuvė sujungta su kambariu;Sandėliukas;Kondicionierius, Šildomos grindys, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3241232;2022-08-20;2022-08-26;3;568/3 (iš viso/šiandien);;568/3;'NoneType' object has no attribute 'text';;51;54.674185;25.284679;;;15.4 µg/m3;24 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-turbut-daugelis-matete-kine-kazkam-pavyko-1-3089369/;Vilnius, Senamiestis, Pylimo g., 5 kambarių butas;799000.0;177,18 m²;5;3;3;2020;Mūrinis;Centrinis kolektorinis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;;;;;www.aruodas.lt/1-3089369;2022-09-02;2022-09-02;69;423/5 (iš viso/šiandien);;423/5;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.682835;25.277356;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-turbut-daugelis-matete-kine-kazkam-pavyko-1-3221042/;Vilnius, Senamiestis, Pylimo g., 5 kambarių butas;759000.0;170 m²;5;2;3;2020;Mūrinis;Centrinis kolektorinis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;Atskiras įėjimas, Butas per kelis aukštus;Sandėliukas, Balkonas, Terasa, Vieta automobiliui;Šildomos grindys;Šarvuotos durys;www.aruodas.lt/1-3221042;2022-08-22;2022-08-22;15;563/3 (iš viso/šiandien);;563/3;'NoneType' object has no attribute 'text';;12B;54.68239;25.277966;;;14.8 µg/m3;23 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-turbut-daugelis-matete-kine-kazkam-pavyko-1-3221046/;Vilnius, Senamiestis, Pylimo g., 4 kambarių butas;599000.0;148 m²;4;2;3;2020;Mūrinis;Centrinis kolektorinis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;Atskiras įėjimas, Butas per kelis aukštus;Balkonas, Terasa, Vieta automobiliui, Drabužinė;Šildomos grindys;Šarvuotos durys;www.aruodas.lt/1-3221046;2022-09-12;2022-09-12;44;214/15 (iš viso/šiandien);;214/15;'NoneType' object has no attribute 'text';;12C;54.682303;25.277994;;;14.8 µg/m3;23 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-raugyklos-g-parduodamas-investicinis-projektas-vilniaus-1-3078691/;Vilnius, Senamiestis, Raugyklos g., 4 kambarių butas;560000.0;390 m²;4;3;3;2022;Mūrinis;Elektra, aeroterminis;Kita;Atskiras įėjimas, Butas per kelis aukštus;Vieta automobiliui;;;www.aruodas.lt/1-3078691;2022-04-04;2022-04-05;53;2418/2 (iš viso/šiandien);;vas-18;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';9;54.675043;25.281369;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-raugyklos-g-parduodamas-jaukiai-irengtas-butas-senamiesti-1-3248987/;Vilnius, Senamiestis, Raugyklos g., 1 kambario butas;151300.0;34 m²;1;1;4;1974;Mūrinis;Centrinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu;Terasa, Vieta automobiliui;Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3248987;2022-09-12;2022-09-12;10;232/18 (iš viso/šiandien);;232/18;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.674209;25.280841;;;;;2022-12-11;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-raugyklos-g-parduodamas-kokybiskai-irengtas-14794-kvm-1-3192934/;Vilnius, Senamiestis, Raugyklos g., 5 kambarių butas;585000.0;150 m²;5;3;4;1940;Mūrinis;Dujinis;Įrengtas;;;;;www.aruodas.lt/1-3192934;2022-03-24;2022-03-30;19;2159/2 (iš viso/šiandien);;vas-59;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.675043;25.281369;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-raugyklos-g-visus-musu-objektus-rasite-wwwloruslt-1-2895005/;Vilnius, Senamiestis, Raugyklos g., 4 kambarių butas;585000.0;150 m²;4;3;4;1940;Mūrinis;Dujinis;Įrengtas;;;;;www.aruodas.lt/1-2895005;2022-08-31;2022-08-31;44;244/2 (iš viso/šiandien);;244/2;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.675043;25.281369;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-rinktines-g-parduodamas-jaukus-bei-siuolaikiskai-irengtas-1-3244007/;Vilnius, Senamiestis, Rinktinės g., 2 kambarių butas;259000.0;45 m²;2;3;8;2018;Mūrinis;Centrinis kolektorinis, centrinis;Įrengtas;Uždaras kiemas, Internetas, Virtuvė sujungta su kambariu;Balkonas, Vieta automobiliui, Drabužinė;Su baldais, Kondicionierius, Skalbimo mašina, Šaldytuvas, Indaplovė, Dušo kabina;Vaizdo kameros, Kodinė laiptinės spyna;www.aruodas.lt/1-3244007;2022-08-29;2022-08-29;6;334/6 (iš viso/šiandien);;334/6;;;;54.693672;25.288258;2 Klasė Gera (1-3);;14.8 µg/m3;25 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-roziu-al-parduodamas-erdvus-butas-roziu-al-1-3241024/;Vilnius, Senamiestis, Rožių al., 5 kambarių butas;999999.0;212 m²;5;3;4;1940 statyba, 2008 renovacija;Mūrinis;Centrinis;Įrengtas;Aukštos lubos, Tualetas ir vonia atskirai, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Virtuvė sujungta su kambariu;Balkonas, Vieta automobiliui, Drabužinė;Kondicionierius, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema;Šarvuotos durys, Signalizacija;www.aruodas.lt/1-3241024;2022-08-19;2022-08-29;19;907/5 (iš viso/šiandien);;907/5;;'NoneType' object has no attribute 'find_all';4;54.68347;25.274904;5 Klasė Vidutinė (4-5);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-rudninku-g-rudninku-g-8-tai-unikalus-ir-istorine-1-3221930/;Vilnius, Senamiestis, Rūdninkų g., 2 kambarių butas;213500.0;43,41 m²;2;3;3;1940;Kita;Dujinis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;Butas palėpėje, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas;;Plastikiniai vamzdžiai;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3221930;2022-09-01;2022-09-01;34;748/6 (iš viso/šiandien);;748/6;'NoneType' object has no attribute 'text';;8;54.677294;25.28573;;;17.6 µg/m3;23.4 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-s-skapo-g-parduodamas-2-kambariu-50-m-butas-1-3237752/;Vilnius, Senamiestis, S. Skapo g., 2 kambarių butas;285000.0;50 m²;2;3;3;1940;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3237752;2022-08-09;2022-09-13;4;668/4 (iš viso/šiandien);;668/4;;;8;54.683867;25.287972;11 Klasė Labai bloga (9-11);;14.7 µg/m3;23.6 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-s-skapo-g-parduodamas-unikalus-ir-autentiskas-butas-1-3243097/;Vilnius, Senamiestis, S. Skapo g., 2 kambarių butas;330000.0;50 m²;2;3;3;1940 statyba, 2004 renovacija;Mūrinis;Centrinis, dujinis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;Aukštos lubos, Butas per kelis aukštus, Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu;Rūsys, Yra palėpė;Skalbimo mašina, Šildomos grindys;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3243097;2022-08-25;2022-09-13;7;551/5 (iš viso/šiandien);;551/5;;;8;54.683867;25.287972;11 Klasė Labai bloga (9-11);;14.7 µg/m3;23.6 µg/m3;2022-11-23;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g--trys-atskiri-kambariai-parduodamas-su-1-3248157/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;290000.0;76 m²;3;2;9;2008;Mūrinis;Centrinis kolektorinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija;Vieta automobiliui;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Indaplovė, Vonia;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/1-3248157;2022-09-08;2022-09-08;3;325/6 (iš viso/šiandien);;325/6;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';1A;54.674731;25.273578;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-ieskantiems-jaukumo-autentiskoje-bei-1-3236458/;Vilnius, Senamiestis, Šaltinių g., 2 kambarių butas;189000.0;46,13 m²;2;1;3;1940;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3236458;2022-08-04;2022-09-13;27;1742/3 (iš viso/šiandien);;1742/3;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.674686;25.27675;;;;;;;;14_09_2022
